,twitter_id,twitter_username,party
417,1052896620797460481,RepHoulahan,Democrat
418,1080574793630527505,RepMeuser,Republican
419,1082311988926124036,RepJohnJoyce,Republican
420,4205133682,GReschenthaler,Republican
421,1079770852302958592,RepTimmons,Republican
422,1074782372594413569,RepDustyJohnson,Republican
423,1028854804087492613,RepTimBurchett,Republican
424,1081312310059253763,RepJohnRose,Republican
425,1080477288955826176,RepMarkGreen,Republican
426,1080894931311431682,RepDanCrenshaw,Republican
427,1075040139351597056,RepVanTaylor,Republican
428,1075904377221722113,RepFletcher,Democrat
429,1075517806551154689,RepEscobar,Democrat
430,1082790600292925440,RepChipRoy,Republican
431,1080587263132733442,RepSylviaGarcia,Democrat
432,1078355119920562176,RepColinAllred,Democrat
433,1080292515939565568,RepElaineLuria,Democrat
434,1072158357237174272,RepBenCline,Republican
435,1078771401497161728,RepSpanberger,Democrat
436,1017819745880543238,RepWexton,Democrat
437,1080462532815532032,RepKimSchrier,Democrat
438,1075205691621720064,RepBryanSteil,Republican
439,1081318716573470720,RepCarolMiller,Republican
440,131546062,SenRickScott,Republican
441,1080870981877534720,SenatorBraun,Republican
442,1080960924687704064,SenHawleyPress,Republican
443,1078693601356509184,SenatorRomney,Republican
444,1080891667308298240,RepGolden,Democrat
445,1136060761422405633,RepFredKeller,Republican
446,1176522535531360257,RepDanBishop,Republican
447,1173978070535024642,RepGregMurphy,Republican
448,1276209702322438148,RepKweisiMfume,Democrat
449,1267841066335682562,RepTiffany,Republican
450,1262531473057423361,RepMikeGarcia,Republican
451,1276232539510919168,RepJacobs,Republican
452,1324926274888888320,SenMarkKelly,Democrat
453,22831059,SenLummis,Republican
454,63650107,repdarrellissa,Republican
455,24735461,PeteSessions,Republican
456,1128514404,RepDavidValadao,Republican
457,1345739193721487362,SenTuberville,Republican
458,1318728336923787264,SenatorHick,Democrat
459,1346873610875654147,SenatorHagerty,Republican
460,1341091420439015424,RepJerryCarl,Republican
461,1339006078688825344,RepBarryMoore,Republican
462,272482466,JayObernolte,Republican
463,1344677401465397249,RepYoungKim,Republican
464,1343740146630451200,RepSteel,Republican
465,1345103905869455361,RepSaraJacobs,Democrat
